"","estacao_id","latitude","longitude","nome","data_dia","temp_min","umid_max"
"259","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-27,25,69.3555
"260","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-26,24,61.3885
"261","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-25,24,78.3541
"262","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-24,25,61.1616
"263","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-23,21,73.1147
"264","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-22,23,68.9692
"265","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-21,22,60.4702
"266","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-20,19,77.6155
"267","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-19,23,68.9692
"268","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-18,23,68.9692
"269","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-17,22,64.5044
"270","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2018-07-16,23,78.2092
"271","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2018-11-25,29,58.3472
"272","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2019-02-16,26,94.2329
"273","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-06-07,23,94.2329
"274","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2019-08-25,23,60.7024
"275","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2019-12-14,26,94.2329
"276","SNCW",-2.37,-44.4,"ALCANTARA (CLA)",2018-01-04,NA,NA
"277","SNCW",-2.37,-44.4,"ALCANTARA (CLA)",2018-01-05,NA,NA
"278","SBCI",-7.32,-47.47,"CAROLINA (AEROPORTO)",2019-07-01,21,94.0188
"279","SBMA",-5.37,-49.13,"MARABA",2019-10-08,23,100
"280","SBMA",-5.37,-49.13,"MARABA",2018-09-10,23,100
"281","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2018-11-26,23,100
"282","SBPJ",10.28,-48.37,"PALMAS-TO (AEROPORTO)",2018-09-09,22,60.4702
"283","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-04-14,24,100
"284","SBCJ",-6.12,-50,"CARAJAS (AEROPORTO)",2019-06-30,25,57.8737
"285","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-08-25,21,77.9152
"286","SBPB",-2.92,-41.75,"PARNAIBA (AEROPORTO)",2019-08-31,27,74.1372
"287","SBMA",-5.37,-49.13,"MARABA",2019-10-09,25,94.2329
"288","SBMA",-5.37,-49.13,"MARABA",2019-10-10,23,100
"289","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-12-09,24,94.1486
"290","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2018-01-05,26,83.677
"291","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2018-11-26,25,69.3555
"292","SBPL",-9.37,-40.57,"PETROLINA (AEROPORTO)",2019-05-26,23,78.2092
"293","SBSL",-2.6,-44.22,"SBSL (82280) IN SAO LUIZ AEROPORTO",2019-07-19,24,100
"294","SBIZ",-5.52,-47.45,"IMPERATRIZ",2019-10-22,23,100
