"SE","tweets","APS","casos","estacao","x"
201139,54,"AP2.1",21,"santosdumont",19
201140,68,"AP2.1",25,"santosdumont",20.6666666666667
201141,61,"AP2.1",19,"santosdumont",21.1428571428571
201142,88,"AP2.1",32,"santosdumont",18.8571428571429
201143,101,"AP2.1",33,"santosdumont",19.6666666666667
201144,81,"AP2.1",21,"santosdumont",18.1428571428571
201145,82,"AP2.1",32,"santosdumont",20.1666666666667
201146,85,"AP2.1",43,"santosdumont",20.7142857142857
201147,71,"AP2.1",43,"santosdumont",20.7142857142857
201148,97,"AP2.1",61,"santosdumont",20.8571428571429
201149,78,"AP2.1",62,"santosdumont",21.4285714285714
201150,98,"AP2.1",82,"santosdumont",22
201151,107,"AP2.1",69,"santosdumont",23.4285714285714
201152,61,"AP2.1",80,"santosdumont",22
201201,140,"AP2.1",92,"santosdumont",22
201202,102,"AP2.1",114,"santosdumont",22.7142857142857
201203,125,"AP2.1",129,"santosdumont",23.1428571428571
201204,77,"AP2.1",161,"santosdumont",22
201205,86,"AP2.1",130,"santosdumont",22
201206,87,"AP2.1",136,"santosdumont",22.8571428571429
201207,120,"AP2.1",142,"santosdumont",23
201208,102,"AP2.1",185,"santosdumont",23
201209,222,"AP2.1",225,"santosdumont",23.8571428571429
201210,242,"AP2.1",264,"santosdumont",22.8571428571429
201211,206,"AP2.1",279,"santosdumont",23
201212,252,"AP2.1",259,"santosdumont",23
201213,267,"AP2.1",280,"santosdumont",22.7142857142857
201214,262,"AP2.1",326,"santosdumont",23.4285714285714
201215,300,"AP2.1",371,"santosdumont",23.3333333333333
201216,442,"AP2.1",486,"santosdumont",22.2857142857143
201217,556,"AP2.1",573,"santosdumont",22.5
201218,429,"AP2.1",509,"santosdumont",20
201219,561,"AP2.1",504,"santosdumont",20.7142857142857
201220,437,"AP2.1",576,"santosdumont",18.8571428571429
201221,323,"AP2.1",570,"santosdumont",19.7142857142857
201222,377,"AP2.1",409,"santosdumont",21.7142857142857
201223,271,"AP2.1",315,"santosdumont",21.1428571428571
201224,215,"AP2.1",282,"santosdumont",20.1428571428571
201225,162,"AP2.1",174,"santosdumont",21.4285714285714
201226,169,"AP2.1",166,"santosdumont",19.7142857142857
201227,148,"AP2.1",135,"santosdumont",20.8333333333333
201228,147,"AP2.1",125,"santosdumont",18.3333333333333
201229,94,"AP2.1",61,"santosdumont",18
201230,66,"AP2.1",62,"santosdumont",20.4285714285714
201231,90,"AP2.1",105,"santosdumont",20.5714285714286
201232,84,"AP2.1",83,"santosdumont",18.8571428571429
201233,63,"AP2.1",78,"santosdumont",20.1666666666667
201234,56,"AP2.1",62,"santosdumont",18.8333333333333
201235,63,"AP2.1",56,"santosdumont",18.5714285714286
201236,53,"AP2.1",39,"santosdumont",18.7142857142857
201237,84,"AP2.1",41,"santosdumont",20.7142857142857
201238,69,"AP2.1",37,"santosdumont",21.1666666666667
201239,49,"AP2.1",25,"santosdumont",17
201240,52,"AP2.1",35,"santosdumont",19.7142857142857
201241,48,"AP2.1",43,"santosdumont",21.3333333333333
201242,63,"AP2.1",39,"santosdumont",20.2857142857143
201243,87,"AP2.1",53,"santosdumont",22.1666666666667
201244,60,"AP2.1",29,"santosdumont",22.5714285714286
201245,53,"AP2.1",25,"santosdumont",21.8
201246,70,"AP2.1",41,"santosdumont",20.2
201247,64,"AP2.1",39,"santosdumont",20.8571428571429
201248,74,"AP2.1",53,"santosdumont",21.6666666666667
201249,86,"AP2.1",37,"santosdumont",24
201250,86,"AP2.1",36,"santosdumont",23.4285714285714
201251,71,"AP2.1",38,"santosdumont",24.2857142857143
201252,72,"AP2.1",60,"santosdumont",24.5
201301,96,"AP2.1",101,"santosdumont",24.2857142857143
201302,135,"AP2.1",160,"santosdumont",24.1428571428571
201303,212,"AP2.1",160,"santosdumont",23
201304,195,"AP2.1",220,"santosdumont",23
201305,185,"AP2.1",265,"santosdumont",23.4285714285714
