"SE","APS","casos","tweets","temp","Rt","casos_est","Rt_est","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201249,"AP5.2",12,86,24.4285714285714,1.38095238095238,14.3352822222501,1.19460685185418,22,558.973622885758,1,1,0
201250,"AP5.2",16,86,24.2857142857143,1.37931034482759,13.4375794406771,1.11979828672309,22,558.973622885758,1,1,0
201251,"AP5.2",10,71,25.1428571428571,0.95,16.0835312564448,1.0052207035278,22,558.973622885758,1,1,0
201252,"AP5.2",11,72,25.7142857142857,0.973684210526316,10.1455210982038,1.01455210982038,22,558.973622885758,1,1,0
201301,"AP5.2",52,96,24.2857142857143,1.97297297297297,13.2072403573496,1.20065821430451,22,558.973622885758,1,1,0
201302,"AP5.2",58,135,22.8571428571429,1.65753424657534,65.8763761686767,1.26685338785917,22,558.973622885758,1,1,0
201303,"AP5.2",67,212,22.2857142857143,1.46280991735537,75.7083150571112,1.30531577684674,22,558.973622885758,1,1,0
201304,"AP5.2",100,195,22.7142857142857,1.27118644067797,75.4575113053893,1.12623151202074,22,558.973622885758,1,1,0
201305,"AP5.2",95,185,23,1.16444444444444,97.7329450325806,0.977329450325806,22,558.973622885758,0,1,0
201306,"AP5.2",69,184,23,1.00763358778626,95.2538197506034,1.00267178684846,22,558.973622885758,1,1,0
201307,"AP5.2",105,224,25.7142857142857,1.01893939393939,82.8711306560452,1.20103087907312,22,558.973622885758,1,1,0
201308,"AP5.2",204,440,25.1428571428571,1.40520446096654,172.947771291725,1.64712163134976,22,558.973622885758,1,1,0
201309,"AP5.2",301,473,22.8571428571429,1.61375661375661,258.43809112327,1.26685338785917,22,558.973622885758,1,1,0
201310,"AP5.2",302,474,24.4285714285714,1.32295081967213,329.246830136199,1.09384328948903,22,558.973622885758,1,1,0
201311,"AP5.2",396,659,24.4285714285714,1.23791821561338,369.983958424639,1.2251124451147,22,558.973622885758,1,1,0
201312,"AP5.2",343,869,22.8571428571429,1.04204204204204,494.750465563791,1.24936986253483,22,558.973622885758,1,1,0
201313,"AP5.2",387,852,22.7142857142857,1.08165225744476,375.933737860099,1.0960167284551,22,558.973622885758,1,1,0
201314,"AP5.2",528,932,22.7142857142857,1.11722912966252,401.650750116915,1.03785723544423,22,558.973622885758,1,1,0
201315,"AP5.2",532,1369,23.1428571428571,1.15023847376789,647.879974921077,1.22704540704749,22,558.973622885758,1,1,1
201316,"AP5.2",394,783,20.2857142857143,1.00483759502419,488.848320579829,0.918887820638776,22,558.973622885758,0,0,0
201317,"AP5.2",293,601,19.1428571428571,0.83837689133425,319.830302723482,0.811752037369245,22,558.973622885758,0,0,0
201318,"AP5.2",292,443,20.2857142857143,0.803117309269893,248.109233565583,0.846789193056598,22,558.973622885758,0,0,0
