"SE","casos","tweets","temp","Rt","temp.1","temp_crit","casos_crit","alertaRt1","alertaTemp","alertaCasos"
201318,2847,443,20.2857142857143,0.816267012313675,20.2857142857143,22,4371.4914478357,0,0,0
201319,1935,368,17.8571428571429,0.77123858674077,17.8571428571429,22,4371.4914478357,0,0,0
201320,1274,304,19.4285714285714,0.779307682408956,19.4285714285714,22,4371.4914478357,0,0,0
201321,963,206,19.7142857142857,0.6889035667107,19.7142857142857,22,4371.4914478357,0,0,0
201322,571,193,19.1428571428571,0.673058485139022,19.1428571428571,22,4371.4914478357,0,0,0
201323,468,164,18.8571428571429,0.712962962962963,18.8571428571429,22,4371.4914478357,0,0,0
201324,383,146,19.4285714285714,0.71028971028971,19.4285714285714,22,4371.4914478357,0,0,0
201325,294,150,19.6,0.805203938115331,19.6,22,4371.4914478357,0,0,0
201326,235,123,19.4285714285714,0.796506550218341,19.4285714285714,22,4371.4914478357,0,0,0
201327,186,88,17.7142857142857,0.783991228070175,17.7142857142857,22,4371.4914478357,0,0,0
201328,137,90,15.4285714285714,0.78041958041958,15.4285714285714,22,4371.4914478357,0,0,0
201329,124,84,19.4285714285714,0.801075268817204,19.4285714285714,22,4371.4914478357,0,0,0
201330,62,57,17.4285714285714,0.722595078299776,17.4285714285714,22,4371.4914478357,0,0,0
201331,79,148,15.1428571428571,0.820433436532508,15.1428571428571,22,4371.4914478357,0,0,0
201332,58,155,18.4285714285714,0.750943396226415,18.4285714285714,22,4371.4914478357,0,0,0
201333,43,71,17.4285714285714,0.904522613065327,17.4285714285714,22,4371.4914478357,0,0,0
201334,53,97,18.1428571428571,0.855555555555556,18.1428571428571,22,4371.4914478357,0,0,0
201335,35,63,17,0.850649350649351,17,22,4371.4914478357,0,0,0
201336,46,55,18.1428571428571,1.02290076335878,18.1428571428571,22,4371.4914478357,0,0,0
201337,54,46,18.4285714285714,1.00746268656716,18.4285714285714,22,4371.4914478357,0,0,0
201338,39,115,21.1428571428571,1.02962962962963,21.1428571428571,22,4371.4914478357,1,0,0
201339,63,45,19.2857142857143,1.12230215827338,19.2857142857143,22,4371.4914478357,0,0,0
201340,46,56,20.5714285714286,0.948717948717949,20.5714285714286,22,4371.4914478357,0,0,0
201341,44,53,17.1428571428571,1.03378378378378,17.1428571428571,22,4371.4914478357,0,0,0
201342,47,57,20.4285714285714,0.895424836601307,20.4285714285714,22,4371.4914478357,0,0,0
201343,58,69,22.7142857142857,1.08759124087591,22.7142857142857,22,4371.4914478357,1,1,0
201344,54,66,19.8571428571429,1.06711409395973,19.8571428571429,22,4371.4914478357,0,0,0
201345,38,54,19.5714285714286,0.943396226415094,19.5714285714286,22,4371.4914478357,0,0,0
201346,42,63,22,0.893333333333333,22,22,4371.4914478357,1,0,0
201347,65,86,21.1428571428571,1.08208955223881,21.1428571428571,22,4371.4914478357,1,0,0
201348,88,74,22.4285714285714,1.3448275862069,22.4285714285714,22,4371.4914478357,1,1,0
201349,92,60,23.2857142857143,1.25641025641026,23.2857142857143,22,4371.4914478357,1,1,0
201403,35,82,23.5714285714286,1.01739130434783,23.5714285714286,22,4371.4914478357,1,1,0
201404,18,76,24.4285714285714,0.871794871794872,24.4285714285714,22,4371.4914478357,1,1,0
201405,9,91,24.7142857142857,0.607843137254902,24.7142857142857,22,4371.4914478357,1,1,0
201406,6,65,25,0.532258064516129,25,22,4371.4914478357,1,1,0
201407,10,77,24.5714285714286,0.757575757575758,24.5714285714286,22,4371.4914478357,1,1,0
201408,6,68,22.4285714285714,0.88,22.4285714285714,22,4371.4914478357,1,1,0
201409,11,77,24.4285714285714,1.22727272727273,24.4285714285714,22,4371.4914478357,1,1,0
201410,13,75,23.4285714285714,1.11111111111111,23.4285714285714,22,4371.4914478357,1,1,0
201411,9,66,23.8571428571429,1.1,23.8571428571429,22,4371.4914478357,1,1,0
201412,30,92,23.7142857142857,1.57575757575758,23.7142857142857,22,4371.4914478357,1,1,0
201413,41,63,21.8571428571429,1.53846153846154,21.8571428571429,22,4371.4914478357,1,0,0
201414,35,65,22.7142857142857,1.325,22.7142857142857,22,4371.4914478357,0,1,0
201415,34,76,21.5714285714286,1.0377358490566,21.5714285714286,22,4371.4914478357,1,0,0
201416,21,62,22.1428571428571,0.818181818181818,22.1428571428571,22,4371.4914478357,1,1,0
201417,19,64,21.5714285714286,0.822222222222222,21.5714285714286,22,4371.4914478357,0,0,0
201418,29,105,17.2857142857143,0.932432432432432,17.2857142857143,22,4371.4914478357,0,0,0
201419,21,159,20.1428571428571,1,20.1428571428571,22,4371.4914478357,1,0,0
201420,12,105,17,0.898550724637681,17,22,4371.4914478357,0,0,0
201421,20,41,20,0.854838709677419,20,22,4371.4914478357,0,0,0
201422,16,80,18.4285714285714,0.905660377358491,18.4285714285714,22,4371.4914478357,0,0,0
201423,16,54,18.7142857142857,1.08333333333333,18.7142857142857,22,4371.4914478357,0,0,0
201424,4,49,19.4285714285714,0.692307692307692,19.4285714285714,22,4371.4914478357,0,0,0
